"path","clip_1","clip_2","label"
"./data/SFS-Static/ProcessedData/GGB-2147","clip-001","clip-011","1"
"./data/SFS-Static/ProcessedData/GGB-2505","clip-005","clip-025","1"
"./data/SFS-Static/ProcessedData/FXB-1109","clip-004","clip-016","1"
"./data/SFS-Static/ProcessedData/GGB-1025","clip-014","clip-006","0"
"./data/SFS-Static/ProcessedData/GGB-2505","clip-025","clip-020","0"
"./data/SFS-Static/ProcessedData/FXB-1109","clip-005","clip-017","1"
"./data/SFS-Static/ProcessedData/Chrysler-220","clip-016","clip-011","0"
"./data/SFS-Static/ProcessedData/EECS-1500","clip-019","clip-008","0"
"./data/SFS-Static/ProcessedData/FXB-1012","clip-019","clip-003","0"
"./data/SFS-Static/ProcessedData/DOW-1010","clip-004","clip-015","1"
"./data/SFS-Static/ProcessedData/BBB-1690","clip-007","clip-016","1"
"./data/SFS-Static/ProcessedData/DOW-2150","clip-001","clip-013","1"
"./data/SFS-Static/ProcessedData/CSRB-2230","clip-029","clip-001","0"
"./data/SFS-Static/ProcessedData/FMCRB-1050","clip-022","clip-002","0"
"./data/SFS-Static/ProcessedData/FXB-1109","clip-007","clip-019","1"
"./data/SFS-Static/ProcessedData/EECS-1005","clip-014","clip-005","0"
"./data/SFS-Static/ProcessedData/FXB-1012","clip-014","clip-004","0"
"./data/SFS-Static/ProcessedData/FXB-1008","clip-023","clip-010","0"
"./data/SFS-Static/ProcessedData/DOW-2150","clip-019","clip-013","0"
"./data/SFS-Static/ProcessedData/EECS-1500","clip-016","clip-003","0"
"./data/SFS-Static/ProcessedData/CSRB-2230","clip-029","clip-026","0"
"./data/SFS-Static/ProcessedData/FMCRB-1050","clip-023","clip-004","0"
"./data/SFS-Static/ProcessedData/DOW-1013","clip-003","clip-018","1"
"./data/SFS-Static/ProcessedData/FXB-1008","clip-010","clip-021","1"
"./data/SFS-Static/ProcessedData/GGB-2147","clip-018","clip-017","0"
"./data/SFS-Static/ProcessedData/CSRB-2230","clip-013","clip-019","1"
"./data/SFS-Static/ProcessedData/CSRB-2230","clip-005","clip-018","1"
"./data/SFS-Static/ProcessedData/DOW-1010","clip-000","clip-003","0"
"./data/SFS-Static/ProcessedData/GGB-2505","clip-012","clip-025","1"
"./data/SFS-Static/ProcessedData/EECS-3427","clip-011","clip-019","0"
"./data/SFS-Static/ProcessedData/GGB-1025","clip-013","clip-018","1"
